Date;Household_ID;Household_Size; Income (£) ;Region;Urban_Rural;Education_Level;Marital_Status;Children;Age_Group;Occupation;Weekly_Grocery_Expenditure;Fridge_Size;Freezer_Size;Food_Preferences;Cooking_Frequency;Leftover_Frequency;Grocery_Shopping_Frequency;Grocery_Store_Type;Organic_Food_Preference;Food_Waste_Perception;Awareness_Programs;Composting_Facility;Food_Waste_Reasons;Food_Preservation_Methods;Food_Waste_Education;Cooking_Skills;Meal_Planning_Frequency;Food_Waste_Quantification;Perishable_Food_Management;Food_Donation_Frequency;Food_Waste_Reduction_Strategies;Technology_Use;Food_Waste_Reduction_Success;Food_Type;Purchase_Quantity;Waste_Quantity
01/01/2023;1;4;59,170.00;South;Urban;Bachelor;Divorced;3;31-45;Employed;49;Small;Small;Vegetarian;Daily;Daily;Monthly;Local;No;Moderate;Yes;Yes;Portion Control;Refrigeration;No;Moderate;Rarely;Regularly;Prompt Consumption;Occasionally;Reduced Portions;Low;Successful;Vegetables;16;6
02/01/2023;2;5;67,500.00;West;Rural;High School;Married;3;18-30;Unemployed;97;Large;Small;Vegetarian;Weekly;Rarely;Monthly;Supermarket;Yes;High;No;No;Spoilage;Freezing;No;Moderate;Weekly;Regularly;Storage;Occasionally;Smart Shopping;Moderate;Partial;Meat;16;5
03/01/2023;3;3;68,477.00;West;Rural;Master;Married;1;46-60;Unemployed;273;Medium;Large;Vegetarian;Daily;Rarely;Daily;Supermarket;Yes;Low;Yes;Yes;Excess Purchases;Canning;Yes;Low;Rarely;Regularly;Preservation;Rarely;Reduced Portions;Moderate;Partial;Vegetables;16;2
04/01/2023;4;4;58,409.00;North;Rural;Master;Single;3;31-45;Student;141;Large;Large;Vegetarian;Daily;Weekly;Daily;Local;Yes;High;Yes;No;Excess Purchases;Canning;Yes;Moderate;Rarely;Rarely;Preservation;Rarely;Reduced Portions;High;Successful;Fruits;16;6
05/01/2023;5;3;30,667.00;East;Rural;PhD;Married;1;31-45;Employed;156;Medium;Small;Vegetarian;Daily;Rarely;Daily;Supermarket;Yes;High;Yes;Yes;Excess Purchases;Freezing;Yes;Moderate;Rarely;Sometimes;Prompt Consumption;Rarely;Meal Planning;Moderate;Successful;Meat;16;3
06/01/2023;6;2;37,000.00;West;Urban;Master;Single;1;18-30;Employed;58;Small;Large;Non-Vegetarian;Daily;Weekly;Monthly;Supermarket;No;Low;No;No;Spoilage;Canning;No;Moderate;Daily;Sometimes;Storage;Rarely;Reduced Portions;High;Not Successful;Vegetables;16;6
07/01/2023;7;4;51,400.00;East;Urban;Bachelor;Married;2;31-45;Employed;82;Small;Large;Vegetarian;Rarely;Weekly;Daily;Supermarket;Yes;Low;No;Yes;Portion Control;Refrigeration;No;High;Daily;Sometimes;Storage;Regularly;Meal Planning;Low;Partial;Vegetables;16;3
08/01/2023;8;2;39,581.00;North;Urban;PhD;Married;0;46-60;Unemployed;224;Large;Small;Vegetarian;Weekly;Weekly;Monthly;Supermarket;Yes;Low;No;No;Excess Purchases;Canning;No;Low;Daily;Rarely;Storage;Rarely;Meal Planning;High;Not Successful;Fruits;16;6
09/01/2023;9;4;74,394.00;South;Rural;Master;Divorced;3;18-30;Student;29;Medium;Medium;Non-Vegetarian;Weekly;Weekly;Daily;Supermarket;Yes;High;Yes;Yes;Excess Purchases;Refrigeration;Yes;Low;Daily;Regularly;Storage;Occasionally;Reduced Portions;Moderate;Partial;Meat;16;6
10/01/2023;10;3;39,024.00;East;Rural;Master;Married;1;18-30;Student;169;Small;Small;Vegetarian;Weekly;Daily;Daily;Local;Yes;Moderate;No;Yes;Portion Control;Refrigeration;No;Moderate;Weekly;Sometimes;Prompt Consumption;Regularly;Meal Planning;Low;Not Successful;Vegetables;16;6
